Family,Child
[F0001],[I0001]
[F0001],[I0002]
[F0001],[I0031]
[F0001],[I0032]
[F0002],[I0004]
[F0002],[I0005]
[F0002],[I0006]
[F0002],[I0007]
[F0002],[I0008]
[F0002],[I0009]
[F0002],[I0010]
[F0002],[I0011]
[F0002],[I0012]
[F0002],[I0013]
[F0002],[I0014]
[F0002],[I0015]
[F0003],[I0036]
[F0003],[I0037]
[F0003],[I0038]
[F0004],[I0039]
[F0004],[I0040]
[F0004],[I0041]
[F0004],[I0042]
[F0004],[I0043]
[F0004],[I0044]
[F0005],[I0053]
[F0005],[I0054]
[F0005],[I0055]
[F0005],[I0056]
[F0005],[I0057]
[F0005],[I0058]
[F0005],[I0741]
[F0006],[I0072]
[F0006],[I0073]
[F0006],[I0074]
[F0006],[I0075]
[F0006],[I0076]
[F0006],[I0077]
[F0006],[I0078]
[F0006],[I0603]
[F0006],[I0604]
[F0006],[I0605]
[F0007],[I0019]
[F0007],[I0020]
[F0007],[I0087]
[F0007],[I0155]
[F0007],[I0156]
[F0007],[I0157]
[F0007],[I0158]
[F0007],[I0159]
[F0007],[I0160]
[F0008],[I0090]
[F0008],[I0091]
[F0008],[I0092]
[F0008],[I0093]
[F0008],[I0094]
[F0008],[I0095]
[F0008],[I0096]
[F0008],[I0097]
[F0008],[I0098]
[F0008],[I0099]
[F0009],[I0114]
[F0009],[I0115]
[F0009],[I0116]
[F0010],[I0120]
[F0010],[I0121]
[F0010],[I0122]
[F0010],[I0123]
[F0010],[I0124]
[F0010],[I0125]
[F0010],[I0126]
[F0010],[I0127]
[F0010],[I0128]
[F0011],[I0140]
[F0011],[I0141]
[F0012],[I0144]
[F0012],[I0145]
[F0012],[I0146]
[F0012],[I0147]
[F0013],[I0152]
[F0013],[I0588]
[F0014],[I0026]
[F0016],[I0755]
[F0016],[I0762]
[F0018],[I0229]
[F0018],[I0230]
[F0020],[I0763]
[F0021],[I0033]
[F0022],[I0034]
[F0022],[I0035]
[F0026],[I0046]
[F0034],[I0059]
[F0034],[I0060]
[F0034],[I0061]
[F0035],[I0062]
[F0037],[I0064]
[F0039],[I0066]
[F0039],[I0067]
[F0051],[I0003]
[F0051],[I0086]
[F0051],[I0138]
[F0051],[I0065]
[F0052],[I0088]
[F0052],[I0089]
[F0052],[I0190]
[F0052],[I0192]
[F0052],[I0193]
[F0052],[I0194]
[F0052],[I0195]
[F0052],[I0196]
[F0052],[I0150]
[F0052],[I0151]
[F0052],[I0627]
[F0053],[I0101]
[F0058],[I0109]
[F0059],[I0107]
[F0059],[I0108]
[F0078],[I0139]
[F0086],[I0168]
[F0086],[I0169]
[F0086],[I0170]
[F0086],[I0171]
[F0087],[I0228]
[F0088],[I0231]
[F0089],[I0183]
[F0089],[I0184]
[F0089],[I0185]
[F0089],[I0186]
[F0089],[I0187]
[F0090],[I0160]
[F0096],[I0164]
[F0097],[I0176]
[F0097],[I0177]
[F0097],[I0178]
[F0097],[I0179]
[F0098],[I0180]
[F0099],[I0181]
[F0100],[I0182]
[F0109],[I0298]
[F0109],[I0490]
[F0109],[I0491]
[F0109],[I0492]
[F0109],[I0493]
[F0109],[I0494]
[F0109],[I0495]
[F0109],[I0496]
[F0109],[I0497]
[F0109],[I0498]
[F0109],[I0651]
[F0109],[I0652]
[F0110],[I0106]
[F0110],[I0214]
[F0110],[I0215]
[F0110],[I0216]
[F0110],[I0217]
[F0110],[I0218]
[F0110],[I0219]
[F0110],[I0220]
[F0110],[I0221]
[F0110],[I0222]
[F0111],[I0203]
[F0111],[I0628]
[F0111],[I0629]
[F0111],[I0630]
[F0111],[I0631]
[F0111],[I0632]
[F0111],[I0633]
[F0111],[I0634]
[F0112],[I0206]
[F0112],[I0208]
[F0112],[I0209]
[F0113],[I0210]
[F0114],[I0211]
[F0115],[I0226]
[F0121],[I0233]
[F0122],[I0234]
[F0123],[I0232]
[F0123],[I0235]
[F0124],[I0236]
[F0124],[I0237]
[F0124],[I0340]
[F0125],[I0239]
[F0125],[I0240]
[F0125],[I0241]
[F0126],[I0249]
[F0126],[I0250]
[F0126],[I0251]
[F0126],[I0252]
[F0127],[I0309]
[F0127],[I0310]
[F0127],[I0347]
[F0127],[I0417]
[F0128],[I0243]
[F0128],[I0244]
[F0129],[I0245]
[F0129],[I0269]
[F0129],[I0270]
[F0129],[I0271]
[F0129],[I0272]
[F0129],[I0273]
[F0129],[I0274]
[F0129],[I0275]
[F0129],[I0276]
[F0129],[I0277]
[F0129],[I0278]
[F0129],[I0279]
[F0129],[I0280]
[F0130],[I0313]
[F0130],[I0314]
[F0130],[I0344]
[F0130],[I0345]
[F0130],[I0346]
[F0131],[I0242]
[F0131],[I0246]
[F0132],[I0247]
[F0132],[I0248]
